,zip.code,type,num.beds,num.baths,living.area,lot.area,KitchenSqFt,masterbedroomSqFt,age.of.home,myresponse
80,2116,Condo/Townhome/Row Home/Co-Op,1,1,411,0,81,88,129,485000
81,2116,Condo/Townhome/Row Home/Co-Op,2,2,1226,0,49,150,129,1149000
82,2116,Condo/Townhome/Row Home/Co-Op,2,2.5,1901,0.043640955,196,260,136,2750000
83,2116,Single Family Home,6,5.5,4820,0.066850321,225,345,120,6700000
84,2116,Condo/Townhome/Row Home/Co-Op,2,2,1300,0,100,192,139,1468000
85,2116,Condo/Townhome/Row Home/Co-Op,1,1,577,0,100,150,134,702000
86,2116,Condo/Townhome/Row Home/Co-Op,1,1,730,0,81,165,139,617500
87,2118,Condo/Townhome/Row Home/Co-Op,1,1,621,0.014256198,169,196,119,680000
88,2118,Condo/Townhome/Row Home/Co-Op,3,3.5,2542,0,144,216,119,2640000
89,2118,Condo/Townhome/Row Home/Co-Op,1,1,595,0,64,156,164,689000
90,2118,Condo/Townhome/Row Home/Co-Op,3,1.5,1999,0,49,414,129,1475000
91,2118,Condo/Townhome/Row Home/Co-Op,3,2,1734,0,196,169,120,1160000
92,2118,Condo/Townhome/Row Home/Co-Op,2,1,870,0,121,169,119,940000
93,2118,Condo/Townhome/Row Home/Co-Op,3,3,2406,0.05523416,169,264,119,2500000
94,2118,Condo/Townhome/Row Home/Co-Op,2,1.5,1404,0,361,240,17,1260000
95,2118,Condo/Townhome/Row Home/Co-Op,3,3,2213,0,196,196,109,1710000
96,2118,Condo/Townhome/Row Home/Co-Op,2,2.5,1620,0,400,221,120,1725000
97,2118,Condo/Townhome/Row Home/Co-Op,1,1,635,0.014577594,144,192,120,745000
98,2118,Condo/Townhome/Row Home/Co-Op,3,2.5,1448,0,256,144,159,1750000
99,2118,Single Family Home,4,2.5,4585,0.047979798,196,252,129,3895000
100,2118,Condo/Townhome/Row Home/Co-Op,2,2,1298,0.02979798,100,220,13,1535000
101,2118,Condo/Townhome/Row Home/Co-Op,2,1.5,1008,0,100,204,120,1050000
102,2118,Condo/Townhome/Row Home/Co-Op,3,2.5,1644,0.037741047,100,168,162,1875000
103,2119,Condo/Townhome/Row Home/Co-Op,3,2.5,2070,0,144,300,1,925000
104,2119,Single Family Home,4,2.5,3954,0.054109275,100,380,130,950000
105,2119,Condo/Townhome/Row Home/Co-Op,3,1,1578,0,81,176,30,350000
106,2119,Condo/Townhome/Row Home/Co-Op,2,1,883,0,225,210,124,395000
107,2119,Single Family Home,4,2.5,2440,0.083516988,196,665,129,519000
108,2119,Condo/Townhome/Row Home/Co-Op,3,2,1668,0,361,224,17,630000
109,2119,Condo/Townhome/Row Home/Co-Op,3,2,1314,0,169,266,129,641000
110,Other,Condo/Townhome/Row Home/Co-Op,2,1,985,0.022612489,169,143,109,581000
111,2121,Condo/Townhome/Row Home/Co-Op,2,2,1001,0,64,240,1,419000
112,2121,Condo/Townhome/Row Home/Co-Op,2,2,958,0,64,225,1,425000
113,2121,Condo/Townhome/Row Home/Co-Op,3,2,1291,0,64,260,1,499000
114,2121,Condo/Townhome/Row Home/Co-Op,3,2.5,1320,0,196,225,0,520000
115,2121,Condo/Townhome/Row Home/Co-Op,3,2,1450,0,64,221,1,490000
116,2121,Condo/Townhome/Row Home/Co-Op,3,2,1291,0,64,260,2,484000
117,2121,Condo/Townhome/Row Home/Co-Op,3,2,1450,0,64,221,1,5.00E+05
118,2121,Condo/Townhome/Row Home/Co-Op,2,2,1001,0,64,240,2,420000
119,2122,Condo/Townhome/Row Home/Co-Op,2,2,1178,0,256,182,3,620000
120,2122,Condo/Townhome/Row Home/Co-Op,2,1,950,0,256,144,114,450000
121,2122,Condo/Townhome/Row Home/Co-Op,4,1.5,1129,0,196,165,109,465000
122,2122,Condo/Townhome/Row Home/Co-Op,2,2,1089,0,400,126,1,495000
123,2122,Condo/Townhome/Row Home/Co-Op,2,1,958,0,225,154,114,338500
124,2122,Condo/Townhome/Row Home/Co-Op,3,1,1089,0,196,180,119,452000
125,2122,Condo/Townhome/Row Home/Co-Op,2,1,927,0,144,143,114,415000
126,2122,Condo/Townhome/Row Home/Co-Op,2,2,883,0,400,130,1,444000
127,2122,Condo/Townhome/Row Home/Co-Op,2,1,1173,0.026928375,169,154,119,479500
128,2122,Condo/Townhome/Row Home/Co-Op,1,1,520,0,121,156,99,260000
129,2122,Condo/Townhome/Row Home/Co-Op,2,3.5,2034,0,144,238,1,735000
130,2122,Condo/Townhome/Row Home/Co-Op,2,1,950,0,256,144,114,445000
131,2122,Condo/Townhome/Row Home/Co-Op,2,1,1173,0.026928375,169,154,119,485000
132,2122,Condo/Townhome/Row Home/Co-Op,2,1,1020,0,256,144,114,473000
133,2122,Condo/Townhome/Row Home/Co-Op,2,3.5,2045,0,144,208,1,695000
134,2122,Condo/Townhome/Row Home/Co-Op,3,2,1096,0,169,168,120,475000
135,2122,Condo/Townhome/Row Home/Co-Op,2,1,1084,0.024885216,400,168,114,433000
136,2122,Single Family Home,4,2.5,1764,0.033241506,169,192,120,460000
137,2122,Condo/Townhome/Row Home/Co-Op,2,1,965,0,169,154,114,378000
138,2122,Condo/Townhome/Row Home/Co-Op,2,2.5,1499,0,289,224,1,735000
139,2122,Single Family Home,3,1.5,1584,0.080693297,144,280,119,510000
140,2122,Condo/Townhome/Row Home/Co-Op,2,2,883,0,400,130,1,450000
141,2122,Condo/Townhome/Row Home/Co-Op,2,1,932,0,169,143,109,392000
142,2122,Single Family Home,3,3.5,4139,0.073461892,81,320,2,1045000
143,2122,Condo/Townhome/Row Home/Co-Op,2,1,695,0.015955005,49,150,57,253000
144,2124,Condo/Townhome/Row Home/Co-Op,3,2,1856,0,289,195,99,589000
145,2124,Condo/Townhome/Row Home/Co-Op,3,2.5,1852,0,169,182,119,639000
146,2124,Condo/Townhome/Row Home/Co-Op,3,2,1664,0,144,168,109,530000
147,2124,Condo/Townhome/Row Home/Co-Op,2,1,1040,0,100,120,119,413000
148,2124,Condo/Townhome/Row Home/Co-Op,3,2.5,1499,0,324,182,119,580000
149,2124,Condo/Townhome/Row Home/Co-Op,4,2,1199,0,144,110,93,625000
150,2124,Condo/Townhome/Row Home/Co-Op,2,2,1050,0,121,121,89,5.00E+05
151,2124,Single Family Home,5,2,2121,0.099885216,225,156,94,650000
152,2124,Condo/Townhome/Row Home/Co-Op,3,2,1993,0,196,196,119,590000
153,2124,Condo/Townhome/Row Home/Co-Op,2,2,1250,0.028696051,256,192,109,526000
154,2124,Single Family Home,3,1.5,1248,0.071717172,144,160,91,625000
155,2124,Condo/Townhome/Row Home/Co-Op,1,1,897,0,81,176,13,397000
156,2124,Single Family Home,3,3.5,2530,0.137006428,196,240,10,591500
157,2124,Condo/Townhome/Row Home/Co-Op,3,1.5,1619,0,64,169,31,273000
158,2124,Condo/Townhome/Row Home/Co-Op,2,2,1284,0,169,221,119,650000
159,2124,Single Family Home,3,1.5,1300,0.24,196,108,159,715500
160,2125,Condo/Townhome/Row Home/Co-Op,2,1,1142,0.026216713,196,208,114,505000
161,2125,Condo/Townhome/Row Home/Co-Op,6,2,3113,0.091873278,169,221,119,750000
162,2125,Condo/Townhome/Row Home/Co-Op,2,1.5,1172,0,36,144,30,560000
163,2125,Condo/Townhome/Row Home/Co-Op,2,2,1346,0,729,247,3,725000
164,2125,Condo/Townhome/Row Home/Co-Op,1,1,880,0,196,204,129,406000
165,2125,Condo/Townhome/Row Home/Co-Op,2,2,980,0,81,168,114,469000
166,2125,Condo/Townhome/Row Home/Co-Op,3,1.5,1304,0,196,182,17,716000
167,2125,Condo/Townhome/Row Home/Co-Op,2,1.5,1025,0,196,180,1,660000
168,2125,Single Family Home,3,3.5,2567,0,196,324,99,849000
169,2125,Condo/Townhome/Row Home/Co-Op,2,2.5,1673,0,196,238,119,787000
170,2125,Condo/Townhome/Row Home/Co-Op,2,2,1059,0,361,336,119,590000
171,2125,Condo/Townhome/Row Home/Co-Op,2,2,1560,0,144,380,15,749000
172,Other,Condo/Townhome/Row Home/Co-Op,3,2.5,1469,0,100,252,14,525000
173,Other,Single Family Home,3,1.5,1632,0.116620753,225,187,69,465000
174,2127,Condo/Townhome/Row Home/Co-Op,2,2,1200,0,225,169,105,830000
175,2127,Condo/Townhome/Row Home/Co-Op,1,1,611,0,289,204,129,417000
176,2127,Condo/Townhome/Row Home/Co-Op,2,1,773,0.017745638,100,120,19,613000
177,2127,Condo/Townhome/Row Home/Co-Op,3,2,1520,0,169,252,2,1090000
178,2127,Condo/Townhome/Row Home/Co-Op,2,1.5,1216,0.029843893,196,210,24,825000
179,2127,Condo/Townhome/Row Home/Co-Op,2,1,1183,0,100,224,17,720000
180,2127,Condo/Townhome/Row Home/Co-Op,2,2,1263,0,289,154,113,857000
181,2127,Condo/Townhome/Row Home/Co-Op,1,1,551,0,100,221,129,395000
182,2127,Condo/Townhome/Row Home/Co-Op,2,1,625,0,100,132,99,537000
183,2127,Condo/Townhome/Row Home/Co-Op,2,1,825,0.018939394,49,143,120,590000
184,2127,Condo/Townhome/Row Home/Co-Op,2,2,1265,0,100,216,129,802500
185,2127,Condo/Townhome/Row Home/Co-Op,1,1,810,0,289,180,16,525000
186,2127,Condo/Townhome/Row Home/Co-Op,1,1.5,604,0,256,135,31,527500
187,2127,Condo/Townhome/Row Home/Co-Op,2,2,701,0.016092746,81,143,129,665000
188,2127,Condo/Townhome/Row Home/Co-Op,2,1.5,1153,0.026469238,196,130,114,662000
189,2127,Condo/Townhome/Row Home/Co-Op,2,1.5,1065,0,81,192,129,626500
190,2127,Condo/Townhome/Row Home/Co-Op,2,1.5,1256,0,225,208,129,830000
191,2127,Condo/Townhome/Row Home/Co-Op,2,1.5,1598,0,196,216,21,880000
192,2127,Condo/Townhome/Row Home/Co-Op,2,1,759,0,100,99,119,575000
